Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
2860 /content.otcmarkets.com/quote_search/list.gz,10,1008,458,2148,454.49,0.00%,1.8,572.16,321656.0
2861 /pixel;r=2009309609;a=p-B1ry_R3CQS6M9;fpan=0;fpa=P0-605369517-1431627681416;ns=0;ce=1;cm=;je=1;sr=1600x900x24;enc=n;dst=1;et=1431972432814;tzo=240;ref=http%3A%2F%2Fwww.otcmarkets.com%2Fmarketplaces%2Fotcqx;url=http%3A%2F%2Fwww.otcmarkets.com%2Fresearch%2FcompanyDirectory;ogl=,10,203,101,582,145.61,0.00%,2.0,0.94,474.0
2862 /__utm.gif,10,71,55,112,20.60,0.00%,2.1,0.82,408.0
2858 /jump/N84001.325081OTCMARKETS.COM/B8443801.114637053;sz=1x1;ord=972430961,10,316,282,470,53.75,0.00%,2.0,1.96,1021.0
2863 /ads/fif.jsp,10,70,37,152,42.30,0.00%,2.1,1.99,950.0
2864 /gen_204,10,89,56,182,37.48,0.00%,2.2,0.83,388.0
2865 /addyn%7C3.0%7C5303%7C2799351%7C0%7C225%7CADTECH;loc=300;key=key1%20key2%20key3%20key4;group=%5Bgroup%5D;misc=1431972433083,10,670,570,914,96.54,0.00%,2.0,2.05,1047.0
2866 /usersync,10,138,1,837,283.00,100.00%,2.2,5.61,2649.8
2868 /getuid,10,580,504,674,66.63,0.00%,2.2,6.38,2910.0
2867 /j,10,519,337,696,117.78,0.00%,2.2,5.64,2598.1
2873 /i/0RUnVlC2Vo_1601544984.html,10,54,29,198,48.43,0.00%,2.3,2.86,1276.9
2874 /pixel.gif,10,35,26,74,13.74,0.00%,2.3,0.71,318.0
2875 /usersync,10,579,457,802,127.15,100.00%,2.0,9.44,4896.9
2876 /ct/creative_add_on.js,10,47,32,88,18.86,0.00%,2.2,4.55,2160.0
2877 /pixel.gif,10,47,31,122,26.65,0.00%,2.2,0.67,318.0
2878 /getuid,10,533,443,652,69.57,0.00%,1.9,5.41,2909.6
2879 /surly.js,10,102,71,218,40.91,0.00%,2.1,3.45,1694.0
2881 /adscores/g.pixel,10,477,345,1021,212.13,0.00%,2.0,2.47,1280.9
2882 /ct/cms-2c.html,10,53,29,126,32.75,0.00%,2.1,5.50,2675.0
2885 /pixel/smt,10,0,0,1,0.46,100.00%,2.1,3.83,1847.6
2886 /red/usync,10,145,32,397,133.31,0.00%,2.1,1.17,569.0
2884 /sync,10,96,67,219,45.23,0.00%,2.1,1.08,528.0
2883 /pixel/6633/,10,214,144,315,51.32,0.00%,2.0,1.58,794.1
2887 /sync,10,59,31,126,28.39,0.00%,2.1,0.64,317.0
2889 /ct/0_0_0CwFEFLwmz_2532/us/0/1/0/0/0/0/728/90/242/292/0/pixel.gif,10,57,28,126,33.09,0.00%,2.1,0.10,51.0
2890 /content/canAuthor.json,10,93,1,205,62.09,10.00%,2.1,1.45,725.4
2891 /1/c816f66e51,10,70,45,126,28.24,0.00%,2.0,0.43,217.6
2894 /common/IsExternalUser,10,84,39,258,62.28,0.00%,2.0,1.15,576.4
2892 /content/getPageText.json,10,78,39,110,29.44,0.00%,2.0,2.28,1140.8
2893 /content/getPageText.json,10,69,41,121,28.01,0.00%,2.0,8.79,4404.8
2896 /__ptq.gif,10,57,31,135,31.99,0.00%,2.0,0.55,275.0
2895 /__utm.gif,10,84,51,169,37.72,0.00%,2.0,0.81,408.0
2897 /pixel.gif,10,53,27,126,30.98,0.00%,2.0,0.64,318.0
2898 /research/stock-screener,10,765,467,1138,262.42,0.00%,1.9,410.44,223174.3
2899 /addyn/3.0/5303.1/3209808/0/16/ADTECH;loc=100;target=_blank;misc=%5BTIMESTAMP%5D;rdclick=%5BCLICKMACRO%5D,10,140,101,217,38.50,0.00%,2.0,1.84,931.0
2900 /addyn/3.0/5303.1/2799329/0/169/ADTECH;loc=100;target=_blank;key=key1+key2+key3+key4;grp=%5Bgroup%5D;misc=1431972433682,10,122,88,181,29.58,0.00%,2.0,5.01,2509.6
2904 /common/CountSecuritiesByTierGroup.json,10,55,38,86,16.78,0.00%,2.1,1.46,722.8
2902 /otciq/ajax/getMarketTotals.jsonx,10,59,39,106,20.74,0.00%,2.1,1.04,511.8
2903 /otciq/ajax/getAggregateWombatTradesForAllTierGroup.json,10,55,38,93,17.39,0.00%,2.1,3.94,1922.2
2901 /common/GetStockScreener.json,10,77,43,174,37.81,0.00%,2.1,14.11,6820.6
2906 /adi/N84001.325081OTCMARKETS.COM/B8443801.114637053;sz=1x1;ord=%5Btimestamp%5D,10,97,64,163,28.67,0.00%,2.2,10.98,5197.8
2907 /pixel;r=443899093;a=p-B1ry_R3CQS6M9;fpan=0;fpa=P0-605369517-1431627681416;ns=0;ce=1;cm=;je=1;sr=1600x900x24;enc=n;dst=1;et=1431972436541;tzo=240;ref=http%3A%2F%2Fwww.otcmarkets.com%2Fresearch%2FcompanyDirectory;url=http%3A%2F%2Fwww.otcmarkets.com%2Fresearch%2Fstock-screener;ogl=,10,151,100,406,88.27,0.00%,2.2,1.01,474.0
2908 /__utm.gif,10,68,51,133,23.21,0.00%,2.4,0.94,408.0
2909 /ads/fif.jsp,10,49,35,95,20.68,0.00%,2.4,2.25,950.0
